LEVEL,AA,AG,AP,COMB,AR,GR,PR,ER,CR,OR,SCORE,AVGFPS,GAMING,PCP,SEX,AGE,PE,NAVGFPS,NPE,NFPSPE,NAA,NAG,NAP
9,2,3,3,8,5,5,5,5,5,1,1000,47,5,2,F,18 to 25,4.75963752,0.6060606061,0.93990938,,,,
9,2,3,3,8,4,4,4,5,5,4,1000,40,3,3,M,18 to 25,4.58352307,0.3939393939,0.8958807675,,,,
9,2,3,3,8,1,2,3,2,1,1,1000,44,3,4,F,12 to 17,1.4531238,0.5151515152,0.11328095,,,,
9,2,3,3,8,5,5,5,5,5,5,1000,44,4,5,M,18 to 25,5,0.5151515152,1,,,,
9,2,3,3,8,5,4,4,4,4,4,1000,27,4,6,F,18 to 25,4.14567199,0,0.7864179975,,,,
9,2,3,3,8,4,3,3,5,5,5,1000,44,4,7,F,18 to 25,4.43289937,0.5151515152,0.8582248425,,,,
9,2,3,3,8,5,5,5,5,5,5,1000,45,3,8,M,12 to 17,5,0.5454545455,1,,,,
9,2,3,3,8,4,5,5,5,5,5,1000,45,5,9,F,18 to 25,4.85432801,0.5454545455,0.9635820025,,,,
9,2,3,3,8,5,4,3,4,5,4,1000,43,4,10,F,12 to 17,4.48678558,0.4848484848,0.871696395,,,,
9,2,3,3,8,4,4,4,4,4,5,1000,39,2,11,M,18 to 25,4.06009062,0.3636363636,0.765022655,,,,
9,2,3,3,8,4,5,2,3,3,3,1000,42,4,12,M,18 to 25,3.21068968,0.4545454545,0.55267242,,,,
9,2,3,3,8,5,5,5,5,5,5,1000,42,5,13,M,18 to 25,5,0.4545454545,1,,,,
9,2,3,3,8,5,5,5,5,5,5,1000,43,5,14,F,18 to 25,5,0.4848484848,1,,,,
9,2,3,3,8,5,4,4,4,5,4,1000,40,3,15,F,18 to 25,4.60558923,0.3939393939,0.9013973075,,,,
9,2,3,3,8,4,4,5,5,5,5,620,39,4,16,F,18 to 25,4.76241734,0.3636363636,0.940604335,,,,
9,2,3,3,8,3,5,5,5,5,4,1000,39,3,17,M,18 to 25,4.6485654,0.3636363636,0.91214135,,,,
9,2,3,3,8,3,4,4,4,4,4,1000,33,3,18,F,18 to 25,3.85432801,0.1818181818,0.7135820025,,,,
9,2,3,3,8,5,5,5,5,5,5,744,46,2,19,F,18 to 25,5,0.5757575758,1,,,,
9,2,3,3,8,5,5,5,5,5,5,1000,42,1,20,F,18 to 25,5,0.4545454545,1,,,,
9,2,3,3,8,5,4,4,4,4,4,1000,44,3,21,F,18 to 25,4.14567199,0.5151515152,0.7864179975,,,,
9,2,3,3,8,5,5,3,2,4,4,1000,41,3,22,M,12 to 17,3.87156735,0.4242424242,0.7178918375,,,,
9,2,3,3,8,2,3,4,2,1,3,1000,45,4,23,F,12 to 17,1.92969135,0.5454545455,0.2324228375,,,,
